Year, Month, DPM_t_C_ha, RPM_t_C_ha, BIO_t_C_ha, HUM_t_C_ha, IOM_t_C_ha, SOC_t_C_ha,     deltaC
1946,     3, 0.02843181, 4.27331700, 0.56935240, 27.2539205,  3.0041000, 35.1291217,  -101.1671 
1946,     4, 0.01248053, 4.16905827, 0.55701206, 27.2299428,  3.0041000, 34.9725937,  -101.5478 
1946,     5, 0.01068278, 4.14965033, 0.55454377, 27.2252541,  3.0041000, 34.9442310,  -101.6256 
1946,     6, 0.00681605, 4.09408606, 0.54745402, 27.2114979,  3.0041000, 34.8639540,  -101.8301 
1946,     7, 0.00548483, 4.06748420, 0.54398911, 27.2047581,  3.0041000, 34.8258162,  -101.9329 
1946,     8, 0.00214519, 3.95453060, 0.52952110, 27.1751098,  3.0041000, 34.6654067,  -102.3393 
1946,     9, 0.68283780, 4.32681377, 0.51643121, 27.1472673,  3.0041000, 35.6774501,  -101.0006 
1946,    10, 0.29644629, 4.21985043, 0.54033023, 27.1625407,  3.0041000, 35.2232677,  -101.7993 
1946,    11, 0.14975255, 4.13428016, 0.54321396, 27.1568071,  3.0041000, 34.9881538,  -102.2634 
1946,    12, 0.12119808, 4.10812405, 0.54239623, 27.1532011,  3.0041000, 34.9290195,  -102.3940 
1947,     1, 0.10260726, 4.08765298, 0.54138830, 27.1499359,  3.0041000, 34.8856844,  -102.4941 
1947,     2, 0.09831261, 4.08241315, 0.54108131, 27.1490448,  3.0041000, 34.8749519,  -102.5262 
1947,     3, 0.07272603, 4.04565992, 0.53856026, 27.1422346,  3.0041000, 34.8032808,  -102.6900 
1947,     4, 0.04677024, 3.99243419, 0.53389567, 27.1309599,  3.0041000, 34.7081600,  -102.9112 
1947,     5, 0.03973316, 3.97295155, 0.53192179, 27.1265051,  3.0041000, 34.6752116,  -102.9956 
1947,     6, 0.03255773, 3.94928342, 0.52940050, 27.1208965,  3.0041000, 34.6362381,  -103.0947 
1947,     7, 0.02578939, 3.92176809, 0.52632874, 27.1141382,  3.0041000, 34.5921244,  -103.2069 
1947,     8, 0.64649968, 4.32755137, 0.52293236, 27.1067190,  3.0041000, 35.6078025,  -101.7342 
1947,     9, 0.46949857, 4.28621755, 0.53446369, 27.1157435,  3.0041000, 35.4100234,  -102.0791 
1947,    10, 0.39175009, 4.26300121, 0.53878204, 27.1184487,  3.0041000, 35.3160821,  -102.2532 
1947,    11, 0.21828966, 4.18886320, 0.54567516, 27.1187882,  3.0041000, 35.0757162,  -102.7052 
1947,    12, 0.14471323, 4.13752308, 0.54580495, 27.1137998,  3.0041000, 34.9459411,  -102.9693 
1948,     1, 0.09169116, 4.08126699, 0.54329031, 27.1051231,  3.0041000, 34.8254716,  -103.2270 
1948,     2, 0.06415071, 4.03776674, 0.54001709, 27.0967836,  3.0041000, 34.7428181,  -103.4137 
1948,     3, 0.03220455, 3.95514765, 0.53202424, 27.0782671,  3.0041000, 34.6017435,  -103.7377 
1948,     4, 0.01681092, 3.87876013, 0.52327728, 27.0590455,  3.0041000, 34.4819938,  -104.0241 
1948,     5, 0.00903915, 3.80722906, 0.51447134, 27.0397977,  3.0041000, 34.3746373,  -104.2875 
1948,     6, 0.00410311, 3.71807858, 0.50317433, 27.0145326,  3.0041000, 34.2439886,  -104.6114 
1948,     7, 0.00335855, 3.69581083, 0.50025059, 27.0080388,  3.0041000, 34.2115588,  -104.6995 
1948,     8, 0.00129536, 3.59167405, 0.48689319, 26.9767343,  3.0041000, 34.0606969,  -105.0784 
1948,     9, 0.87628239, 4.10641292, 0.47485296, 26.9474423,  3.0041000, 35.4090905,  -103.1001 
1948,    10, 0.36752371, 4.00075407, 0.51101104, 26.9741683,  3.0041000, 34.8575571,  -104.0590 
1948,    11, 0.21288906, 3.93575354, 0.51725307, 26.9732884,  3.0041000, 34.6432840,  -104.4709 
1948,    12, 0.13648380, 3.88361105, 0.51754809, 26.9672201,  3.0041000, 34.5089630,  -104.7473 
1949,     1, 0.10654890, 3.85487025, 0.51648232, 26.9624658,  3.0041000, 34.4444673,  -104.8897 
1949,     2, 0.08225380, 3.82505755, 0.51472995, 26.9567249,  3.0041000, 34.3828662,  -105.0291 
1949,     3, 0.06591251, 3.79972644, 0.51282280, 26.9513164,  3.0041000, 34.3338781,  -105.1440 
1949,     4, 0.03831777, 3.73839598, 0.50719026, 26.9366529,  3.0041000, 34.2246569,  -105.3954 
1949,     5, 0.02607771, 3.69548444, 0.50253844, 26.9253999,  3.0041000, 34.1536005,  -105.5664 
1949,     6, 0.02165886, 3.67495787, 0.50015732, 26.9197932,  3.0041000, 34.1206672,  -105.6517 
1949,     7, 0.01715626, 3.64935381, 0.49710235, 26.9126244,  3.0041000, 34.0803368,  -105.7548 
1949,     8, 1.17878925, 4.43380721, 0.49408368, 26.9055607,  3.0041000, 36.0163409,  -102.7913 
1949,     9, 0.81320050, 4.38469763, 0.52279675, 26.9333362,  3.0041000, 35.6581311,  -103.3731 
1949,    10, 0.26829666, 4.24123346, 0.55738212, 26.9575822,  3.0041000, 35.0285944,  -104.4675 
1949,    11, 0.19879773, 4.20325814, 0.55871482, 26.9558073,  3.0041000, 34.9206780,  -104.6788 
1949,    12, 0.15033655, 4.16817225, 0.55841528, 26.9523808,  3.0041000, 34.8334048,  -104.8564 
1950,     1, 0.12428811, 4.14444717, 0.55754765, 26.9492883,  3.0041000, 34.7796712,  -104.9717 
1950,     2, 0.09442343, 4.11041918, 0.55560577, 26.9439650,  3.0041000, 34.7085134,  -105.1242 
1950,     3, 0.06551793, 4.06559886, 0.55207707, 26.9356797,  3.0041000, 34.6229736,  -105.3102 
1950,     4, 0.19900835, 4.12575631, 0.54747867, 26.9257561,  3.0041000, 34.8020994,  -104.9643 
1950,     5, 0.26404455, 4.15976043, 0.54598833, 26.9166925,  3.0041000, 34.8905858,  -104.8107 
1950,     6, 0.36763768, 4.24042356, 0.54713630, 26.9155022,  3.0041000, 35.0747997,  -104.4592 
1950,     7, 0.28520957, 4.21815102, 0.55276024, 26.9088557,  3.0041000, 34.9690766,  -104.7106 
1950,     8, 0.25766591, 4.19864338, 0.55323868, 26.8968510,  3.0041000, 34.9104990,  -104.8708 
1950,     9, 0.89055212, 4.63775406, 0.55335391, 26.8875860,  3.0041000, 35.9733461,  -102.8409 
1950,    10, 0.53648273, 4.56777398, 0.57790560, 26.9105366,  3.0041000, 35.5967989,  -103.5847 
1950,    11, 0.40736610, 4.53020109, 0.58497565, 26.9162384,  3.0041000, 35.4428813,  -103.9011 
1950,    12, 0.37522969, 4.51904691, 0.58644489, 26.9172542,  3.0041000, 35.4020757,  -103.9925 
1951,     1, 0.27514120, 4.47718049, 0.59008878, 26.9187882,  3.0041000, 35.2652987,  -104.2797 
1951,     2, 0.20421584, 4.43731864, 0.59118924, 26.9175314,  3.0041000, 35.1543552,  -104.5175 
1951,     3, 0.14550472, 4.39242390, 0.59039733, 26.9137134,  3.0041000, 35.0461394,  -104.7527 
1951,     4, 0.08350086, 4.31984996, 0.58606036, 26.9036892,  3.0041000, 34.8972003,  -105.0781 
1951,     5, 0.04847385, 4.24994352, 0.57949883, 26.8909961,  3.0041000, 34.7730123,  -105.3556 
1951,     6, 0.04093318, 4.22844025, 0.57712640, 26.8866683,  3.0041000, 34.7372682,  -105.4429 
1951,     7, 0.03301637, 4.20126245, 0.57398569, 26.8809690,  3.0041000, 34.6933335,  -105.5484 
1951,     8, 0.01263416, 4.08191849, 0.55935869, 26.8535973,  3.0041000, 34.5116086,  -105.9607 
1951,     9, 0.75469327, 4.49609986, 0.54534023, 26.8269801,  3.0041000, 35.6272135,  -103.7749 
1951,    10, 0.35308431, 4.39480072, 0.57060911, 26.8472223,  3.0041000, 35.1698164,  -104.7027 
1951,    11, 0.17209995, 4.30106748, 0.57511300, 26.8449796,  3.0041000, 34.8973600,  -105.2789 
1951,    12, 0.11189619, 4.24587587, 0.57308186, 26.8384042,  3.0041000, 34.7733581,  -105.5523 
1952,     1, 0.08641459, 4.21308718, 0.57084244, 26.8332847,  3.0041000, 34.7077289,  -105.7031 
1952,     2, 0.06714348, 4.18131561, 0.56815433, 26.8276584,  3.0041000, 34.6483719,  -105.8414 
1952,     3, 0.03947164, 4.11520419, 0.56149619, 26.8143333,  3.0041000, 34.5346053,  -106.1006 
1952,     4, 0.02327216, 4.05049347, 0.55395385, 26.7997489,  3.0041000, 34.4315683,  -106.3390 
1952,     5, 0.01076421, 3.95787701, 0.54230619, 26.7770448,  3.0041000, 34.2920922,  -106.6623 
1952,     6, 0.00896192, 3.93617921, 0.53941428, 26.7714913,  3.0041000, 34.2601467,  -106.7440 
1952,     7, 0.00715525, 3.90968326, 0.53585776, 26.7646040,  3.0041000, 34.2214002,  -106.8415 
